Name,Stars,Title,Date,Description,reviews-cleaned,Sentiment,Score
Dicie Lynn Mitchell,3.0,"3.0 out of 5 stars
fair product",07/11/2023,inflates extremely slow. Lights look good.,inflates extremely slow. Lights look good.,POSITIVE,0.9974763989448547
RUM,4.0,"4.0 out of 5 stars
Muy bonito adorno navideño",25/09/2022,"Adorno de navidad igual de bonito como en la imagen. Lo negativo es que se desinfla inmediamente al desconectarse , pensé que se podía dejar inflado sin conexion.","Adorno de navidad igual de bonito como en la imagen. Lo negativo e que se desinfla inmediamente al desconectarse , pensé que se podía dejar inflado sin conexion.",NEGATIVE,0.8892142176628113
penny dziuban,2.0,"2.0 out of 5 stars
Blower not working",10/11/2023,Blower not working,Blower working,NEGATIVE,0.9588837027549744
Robin Hill,5.0,"5.0 out of 5 stars
Nice Lights",16/01/2023,Looks great. Constant moving “disco” like lights made it stand out. It rained a lot this Christmas for California & it held up well. I got it during Black Friday sale so paid only $30 something. Great deal!,Looks great. Constant moving “disco” like light made stand out. It rained lot Christmas California & held well. I got Black Friday sale paid $30 something. Great deal!,POSITIVE,0.9996745586395264
Linda Leary,4.0,"4.0 out of 5 stars
Great for an outdoors",01/12/2022,Easy setup.,Easy setup.,NEGATIVE,0.8689784407615662
Dee R,5.0,"5.0 out of 5 stars
The Cutest Inflatable",11/12/2022,Great value for the money and looks great! Easy to steak down and inflate. Many of my neighbors have said they are enjoying the inflatable. I keep it  inflated about 16 hours a day and it works well.,Great value money look great! Easy steak inflate. Many neighbor said enjoying inflatable. I keep inflated 16 hour day work well.,POSITIVE,0.999405026435852
Dorothy R.,5.0,"5.0 out of 5 stars
Love this decoration",22/12/2022,Video is too big to upload but I bought this snowman 2 years ago and waited just now to review it.  2 seasons now and still working great.  Eyecatching,Video big upload I bought snowman 2 year ago waited review it. 2 season still working great. Eyecatching,POSITIVE,0.9987964630126953
Meka,5.0,"5.0 out of 5 stars
Durable",03/01/2023,I like the size and still of it. I thought it would be difficult to keep secured in the wind and rain but it wasn't.,I like size still it. I thought would difficult keep secured wind rain wasn't.,POSITIVE,0.9979197382926941
Jackie,5.0,"5.0 out of 5 stars
Super cute wish it was bigger",02/12/2022,Cute wish it was bigger. The  ad has dimensions  but the picture make it seem bigger they are taken at a certain angle  but the kiddos love it 😍,Cute wish bigger. The ad dimension picture make seem bigger taken certain angle kiddos love 😍,POSITIVE,0.7101573348045349
rcamay,5.0,"5.0 out of 5 stars
great quality",05/12/2022,"I love it, great quality of material, also helps a lot you can put a bag of sand inside for the winter wind.lights are very nice","I love it, great quality material, also help lot put bag sand inside winter wind.lights nice",POSITIVE,0.9998589754104614
